Parameter,Object,Writable,Value,Value type
InternetGatewayDevice.LANDevice,true,false,,
InternetGatewayDevice.LANDevice.1,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Active,false,false,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.AddressSource,false,false,DHCP,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.HostName,false,false,android-d87bf88d22e66acf,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.IPAddress,false,false,192.168.1.2,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.Layer2Interface,false,false,InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.LeaseTimeRemaining,false,false,65444,xsd:int
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.MACAddress,false,false,40:B0:FA:9C:4A:50,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.1.X_HUAWEI_DeviceType,false,false,Computer,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.2,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.Active,false,false,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.AddressSource,false,false,DHCP,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.HostName,false,false,android-d91540e8540e9c7a,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.IPAddress,false,false,192.168.1.4,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.Layer2Interface,false,false,InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.LeaseTimeRemaining,false,false,71455,xsd:int
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.MACAddress,false,false,10:68:3F:77:88:20,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.X_HUAWEI_DeviceType,false,false,Computer,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.3,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.Active,false,false,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.AddressSource,false,false,DHCP,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.HostName,false,false,Lena-PC,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.IPAddress,false,false,192.168.1.5,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.Layer2Interface,false,false,InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.LeaseTimeRemaining,false,false,12613,xsd:int
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.MACAddress,false,false,C0:14:3D:C0:CF:93,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.X_HUAWEI_DeviceType,false,false,Computer,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.4,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.Active,false,false,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.AddressSource,false,false,DHCP,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.HostName,false,false,localhost,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.IPAddress,false,false,192.168.1.6,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.Layer2Interface,false,false,InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.LeaseTimeRemaining,false,false,66289,xsd:int
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.MACAddress,false,false,1C:3E:84:AC:BB:76,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.4.X_HUAWEI_DeviceType,false,false,Computer,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.5,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.Active,false,false,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.AddressSource,false,false,DHCP,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.HostName,false,false,Munas-iphone,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.IPAddress,false,false,192.168.1.7,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.Layer2Interface,false,false,InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.LeaseTimeRemaining,false,false,9848,xsd:int
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.MACAddress,false,false,C0:9F:42:56:33:DF,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.5.X_HUAWEI_DeviceType,false,false,Computer,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.6,true,false,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.Active,false,false,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.AddressSource,false,false,Static,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.HostName,false,false,,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.IPAddress,false,false,192.168.1.3,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.Layer2Interface,false,false,InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.LeaseTimeRemaining,false,false,0,xsd:int
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.MACAddress,false,false,20:10:7a:08:4d:43,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.Host.6.X_HUAWEI_DeviceType,false,false,Computer,xsd:string
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries,false,false,6,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.Hosts.X_HUAWEI_Host,true,true,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddress,false,false,20:2B:C1:E0:06:66,xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BytesReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BytesSent,false,false,14656,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.PacketsReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.PacketsSent,false,false,229,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.X_HUAWEI_PacketsReceivedDrops,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.X_HUAWEI_PacketsReceivedError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.X_HUAWEI_PacketsSentDrops,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.X_HUAWEI_PacketsSentError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Status,false,false,NoLink,xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.MACAddress,false,false,20:2B:C1:E0:06:66,xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BytesReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BytesSent,false,false,14400,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.PacketsReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.PacketsSent,false,false,225,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.X_HUAWEI_PacketsReceivedDrops,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.X_HUAWEI_PacketsReceivedError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.X_HUAWEI_PacketsSentDrops,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.X_HUAWEI_PacketsSentError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Status,false,false,NoLink,xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.MACAddress,false,false,20:2B:C1:E0:06:66,xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BytesReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BytesSent,false,false,13248,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.PacketsReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.PacketsSent,false,false,207,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.X_HUAWEI_PacketsReceivedDrops,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.X_HUAWEI_PacketsReceivedError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.X_HUAWEI_PacketsSentDrops,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.X_HUAWEI_PacketsSentError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Status,false,false,NoLink,xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.MACAddress,false,false,20:2B:C1:E0:06:66,xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BytesReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BytesSent,false,false,12864,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.PacketsReceived,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.PacketsSent,false,false,201,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.X_HUAWEI_PacketsReceivedDrops,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.X_HUAWEI_PacketsReceivedError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.X_HUAWEI_PacketsSentDrops,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.X_HUAWEI_PacketsSentError,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Status,false,false,NoLink,xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceNumberOfEntries,false,false,4,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement,true,false,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalPoolNumberOfEntries,false,false,4,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool,true,true,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.1,true,true,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.1.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.1.MaxAddress,false,true,0.0.0.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.1.MinAddress,false,true,0.0.0.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.1.VendorClassID,false,true,STB,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.1.X_HUAWEI_DeviveDhcpRelay,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.2,true,true,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.2.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.2.MaxAddress,false,true,0.0.0.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.2.MinAddress,false,true,0.0.0.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.2.VendorClassID,false,true,Phone,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.2.X_HUAWEI_DeviveDhcpRelay,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.3,true,true,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.3.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.3.MaxAddress,false,true,0.0.0.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.3.MinAddress,false,true,0.0.0.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.3.VendorClassID,false,true,Camera,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.3.X_HUAWEI_DeviveDhcpRelay,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.4,true,true,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.4.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.4.MaxAddress,false,true,0.0.0.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.4.MinAddress,false,true,0.0.0.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.4.VendorClassID,false,true,Computer,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalServingPool.4.X_HUAWEI_DeviveDhcpRelay,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPLeaseTime,false,true,86400,xsd:int
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPServerEnable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPStaticAddress,true,true,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPStaticAddressNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DNSServers,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DomainName,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface,true,false,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1,true,false,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.Enable,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceAddressingType,false,true,DHCP,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceIPAddress,false,true,192.168.1.1,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceSubnetMask,false,true,255.255.255.0,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterfaceNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPRouters,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MaxAddress,false,true,192.168.1.254,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MinAddress,false,true,192.168.1.2,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.ReservedAddresses,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.X_HUAWEI_PortRelayNumberOfEntries,false,false,0,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANWLANConfigurationNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AssociatedDevice,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AssociatedDevice.1,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AssociatedDevice.1.AssociatedDeviceMACAddress,false,false,40:B0:FA:9C:4A:50,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AssociatedDevice.2,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AssociatedDevice.2.AssociatedDeviceMACAddress,false,false,10:68:3F:77:88:20,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AssociatedDevice.3,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AssociatedDevice.3.AssociatedDeviceMACAddress,false,false,1C:3E:84:AC:BB:76,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.AutoChannelEnable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BSSID,false,false,20:2B:C1:E0:06:67,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BasicAuthenticationMode,false,true,None,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BasicEncryptionModes,false,true,None,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.BeaconType,false,true,WPAWPA2,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Channel,false,true,6,xsd:int
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.IEEE11iAuthenticationMode,false,true,PSKAuthentication,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.IEEE11iEncryptionModes,false,true,AESEncryption,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.MACAddressControlEnabled,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.MaxBitRate,false,true,Auto,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.1,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.PreSharedKey.1.PreSharedKey,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.RegulatoryDomain,false,true,IQ,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.SSID,false,true,404 WiMAX Not Found,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.SSIDAdvertisementEnabled,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Standard,false,true,b/g/n,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.Status,false,false,up,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.TotalAssociations,false,false,3,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.TotalBytesReceived,false,false,1072479591,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.TotalBytesSent,false,false,1040264440,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.TotalPacketsReceived,false,false,5033167,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.TotalPacketsSent,false,false,2037903,xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPEncryptionLevel,false,true,104-bit,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKey,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKey.1,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKey.1.WEPKey,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKey.2,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKey.2.WEPKey,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKey.3,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKey.3.WEPKey,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKey.4,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKey.4.WEPKey,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WEPKeyIndex,false,true,1,xsd:int
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WMMEnable,false,true,false,xsd:boolean
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WPAAuthenticationMode,false,true,PSKAuthentication,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WPAEncryptionModes,false,true,AESEncryption,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WPS,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WPS.DevicePassword,false,true,,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.1.WPS.Enable,false,true,false,xsd:boolean
